Team,Conf,Adjusted Tempo,Raw,Average Possession Length Offense,Average Possession Length Defense,Adjusted Off. Efficiency,Raw,Adjusted Def. Efficiency,Raw
George Washington,A10,67.2,67.2,17.7,18,106.7,106.4,102.5,99.2
Georgetown,BE,68.4,68.4,17,18.2,108.3,104.3,98.9,99.6
Georgia,SEC,66.7,68.8,17.8,17.3,115.4,109.8,96.5,100.7
Georgia Southern,SB,69.7,70,16.2,18.1,103,104,110,107.6
Georgia St.,SB,69.1,69.4,17.1,17.3,106.7,106.3,115.7,113.4
Georgia Tech,ACC,68.7,69.4,17.6,17.2,108.2,105.2,101.3,103.5
Gonzaga,WCC,70.3,70.6,15.6,18.4,125.1,122.4,97.8,97.9
Grambling St.,SWAC,64.2,66.5,18.3,18,96.8,96.9,111.6,106.6
Grand Canyon,WAC,71.8,72.9,16,17.2,105.8,105.5,99.4,94.5
Green Bay,Horz,68.9,69,17.3,17.3,101.1,100.8,116.8,115.6
Hampton,CAA,65.6,66,19.1,17.3,104.4,105.3,108.3,106.4
Harvard,Ivy,65.7,66.9,17.8,17.9,102,101.7,110.3,108.6
Hawaii,BW,66,66.8,18.5,17.5,103.9,102.8,108.1,106
High Point,BSth,66.8,67.3,17.6,17.9,118.6,121.1,109.8,104.9
Hofstra,CAA,63.8,64.4,18.9,18.1,98.3,98,102.9,100.8
Holy Cross,PL,66.2,66,18.6,17.7,102.2,103.1,116.2,111.2
Houston,B12,61.1,62.1,19.5,18.9,124.8,118,89.4,91.3
Houston Christian,Slnd,65,64.9,18.9,17.9,102.4,100.8,111.3,108.7
Howard,MEAC,69.4,70.2,17.4,16.6,105.2,106.6,117.9,113.4
Idaho,BSky,66.2,66.6,18,17.7,109.1,109.3,117.8,115.2
Idaho St.,BSky,66.1,66.7,19.4,16.8,106.3,108.2,108.6,106.6
Illinois,B10,71.7,72.4,16.8,16.5,120.5,114.2,97.6,100.6
Illinois Chicago,MVC,69.2,68.6,17.2,17.8,109,107,108.4,108.7
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
Team,Conf,Adjusted,Raw,Offense,Defense,Adjusted,Raw,Adjusted,Raw
Illinois St.,MVC,65.4,65.8,18.8,17.4,114.6,114.5,112.5,111.9
Incarnate Word,Slnd,64.4,64.8,19.4,17.4,107.4,108,113.7,108.9
Indiana,B10,68.3,69.4,17.1,17.5,115.3,109.1,98.7,104.1
Indiana St.,MVC,72.2,72,16.2,17,108,107.3,112.1,111.5
Iona,MAAC,68.9,69,17.8,17,97.2,98.9,106.8,101.8
Iowa,B10,69.9,71.6,15.6,17.8,118,114,106.9,110.4
Iowa St.,B12,68.8,69.7,16.4,18,119.4,113.8,92.9,95.6
IU Indy,Horz,65,66,18.9,17.4,109.1,108.4,122.3,119.1
Jackson St.,SWAC,68.8,70.5,18.1,15.7,101.2,98.8,107.8,106.3
Jacksonville,ASun,68,68.8,17.6,17.2,101.5,103.5,102.9,103.1
Jacksonville St.,CUSA,65.2,65.7,19.2,17.3,110,107.7,105.5,105.2
James Madison,SB,64.9,65.1,19,17.8,111.4,110.6,110.5,108.1
Kansas,B12,68.7,69.2,16.5,18.2,115.2,108.8,92,96.8
Kansas City,Sum,64.8,65.9,19.6,16.9,100.8,103.3,107.1,107.7
Kansas St.,B12,67.3,68.2,17.6,17.7,112.2,105.8,100.1,103.7
Kennesaw St.,CUSA,70.4,71,16.4,17.6,104.8,101.8,103.4,102.4
Kent St.,MAC,65.9,67.5,18.1,17.6,106.9,107.1,103,100
Kentucky,SEC,70.7,72.2,16.3,17,125.2,117.5,100.8,106.6
La Salle,A10,68.9,69.9,17.1,17.3,102.8,100.8,109.3,108.4
Lafayette,PL,66.2,66,18.2,18.1,98.6,101.7,109.3,104.2
Lamar,Slnd,65.6,65.9,18,18,103.5,103.5,104.7,102.6
Le Moyne,NEC,68.7,68.5,17.3,17.7,101.2,102.2,121.6,115.6
Lehigh,PL,67.3,66.7,17.5,18.4,101.1,101.8,111.1,107.4
Liberty,CUSA,65.4,66.3,18.7,17.3,108.9,108.6,97,94.3
Lindenwood,OVC,69.8,69.9,16.8,17.6,95.1,96.2,109.9,105
Lipscomb,ASun,66.2,67.6,17.5,17.8,112.9,115,103.4,100.5
Little Rock,OVC,67.2,68.1,18.2,16.9,98.7,99.6,103.2,97.1
LIU,NEC,65.2,65.3,19.1,17.5,94.7,98.2,104.7,99.4
Long Beach St.,BW,64.2,65.5,19,17.5,102.7,99.1,115,114
Longwood,BSth,69,70,16.7,17.4,106.5,109.2,110,108.1
Louisiana,SB,66.9,66.9,17.8,17.9,98.8,97.1,111.2,109.8
Louisiana Monroe,SB,68.1,68.3,17.9,17.3,96.6,96.2,114.7,112.5
Louisiana Tech,CUSA,64.6,66.1,18.7,17.5,111,107.6,106.7,104.6
Louisville,ACC,69,69.4,16.9,17.7,118.8,114.1,96.3,99.6
