"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","San Diego St.",66.2806,275,66.0977,264,105.406,194,110.529,111,95.8685,15,93.7566,13,16.7726,42
"2025","San Francisco",68.5006,153,67.6861,169,110.317,87,112.318,87,100.062,51,99.8503,53,12.4672,63
"2025","San Jose St.",66.4614,269,66.4432,237,104.758,219,108.78,141,110.737,287,109.374,217,-0.594643,172
"2025","Santa Clara",70.0435,76,69.2762,80,114.644,34,116.865,42,102.362,88,101.691,73,15.1736,54
"2025","Seattle",67.4207,216,66.0365,267,103.339,248,106.182,201,102.114,85,104.806,120,1.37604,149
"2025","Seton Hall",64.8137,331,64.5732,325,94.6613,354,100.051,307,105.512,169,102.531,83,-2.47988,193
"2025","Siena",67.54,203,67.2725,202,105.428,192,104.115,228,104.753,150,110.535,235,-6.41956,241
"2025","SIUE",67.3957,218,66.5294,233,104.25,226,101.921,270,100.884,64,107.478,180,-5.55712,231
"2025","SMU",69.4625,103,69.1477,92,117.074,19,118.606,25,103.966,127,102.041,80,16.5652,46
"2025","South Alabama",63.8927,354,63.2785,352,108.598,128,107.661,166,99.275,35,103.521,99,4.13927,117
"2025","South Carolina",67.0385,235,65.7494,281,104.05,235,110.467,112,105.323,165,98.7731,48,11.694,67
"2025","South Carolina St.",70.6481,51,69.1494,91,106.227,170,103.603,238,101.541,73,106.268,154,-2.66536,195
"2025","South Dakota",74.8665,3,74.6933,3,113.116,54,110.408,115,115.195,342,115.996,332,-5.58763,232
"2025","South Dakota St.",69.8875,85,69.1934,87,113.268,51,110.977,104,107.037,202,107.106,170,3.87132,120
"2025","South Florida",69.7863,87,68.5415,125,104.817,214,103.99,232,106.75,193,106.693,160,-2.70331,198
"2025","Southeast Missouri",68.9918,126,68.9875,100,104.801,217,103.367,242,100.151,54,106.31,155,-2.94292,202
"2025","Southeastern Louisiana",67.4433,214,67.3614,196,105.501,189,105.282,214,104.322,139,107.813,186,-2.531,194
"2025","Southern",70.2983,62,69.1164,94,100.747,303,100.734,297,99.3632,36,105.507,136,-4.7729,225
"2025","Southern Illinois",68.2645,172,68.2544,137,105.104,206,105.744,206,109.058,252,108.063,191,-2.31972,188
"2025","Southern Indiana",68.1386,177,67.2033,203,100.821,299,98.8615,323,109.06,253,115.399,324,-16.5372,335
"2025","Southern Miss",71.3258,33,71.4914,20,97.648,329,98.3129,331,106.911,196,108.977,208,-10.6639,291
"2025","Southern Utah",70.0894,73,69.1647,90,97.3798,333,100.625,302,108.356,233,110.564,237,-9.9391,280
"2025","St. Bonaventure",64.8247,330,64.1139,339,106.876,162,108.031,163,100.071,52,101.843,76,6.188,101
"2025","St. John's",70.2764,64,70.1573,52,110.067,93,113.8,72,92.1733,3,89.1391,2,24.6607,15
"2025","St. Thomas",69.2545,117,67.9382,152,117.535,15,114.743,64,109.978,271,111.425,254,3.31802,125
"2025","Stanford",67.5297,205,66.8094,225,110.434,85,112.88,83,105.065,157,103.544,100,9.3359,86
"2025","Stephen F. Austin",67.3453,223,67.6838,170,94.7754,352,95.2784,348,101.77,76,104.922,122,-9.64321,278
"2025","Stetson",68.8397,136,67.9041,157,100.671,304,99.8653,309,117.959,357,119.156,358,-19.2909,352
"2025","Stonehill",65.7241,302,65.3202,301,103.353,246,101.959,268,107.906,221,115.459,325,-13.5006,318
"2025","Stony Brook",64.6404,338,64.891,319,101.074,290,101.982,265,115.656,350,117.729,348,-15.747,333
"2025","Syracuse",69.1589,121,68.7652,116,106.124,173,110.685,107,111.402,302,107.303,176,3.38143,123
